"","TF","target"
"543","AR","BDKRB1"
"544","AR","BDKRB2"
"545","AR","BDNF"
"546","AR","BFSP1"
"547","AR","BICD1"
"548","AR","BID"
"549","AR","PRDM1"
"550","AR","BLK"
"551","AR","BLM"
"552","AR","BNC1"
"553","AR","BMP1"
"554","AR","BMP6"
"555","AR","BMP7"
"556","AR","BMP8B"
"557","AR","BMPR1A"
"558","AR","BMPR1B"
"559","AR","BMPR2"
"560","AR","BNIP3L"
"561","AR","DST"
"562","AR","BPGM"
"563","AR","BPHL"
"564","AR","ZFP36L1"
"565","AR","ZFP36L2"
"566","AR","BTC"
"567","AR","BTD"
"568","AR","KLF9"
"569","AR","BYSL"
"570","AR","C3orf51"
"571","AR","C1R"
"572","AR","C1S"
"573","AR","C4BPA"
"574","AR","DAGLA"
"575","AR","C16orf3"
"576","AR","PTTG1IP"
"577","AR","TMEM50B"
"578","AR","CA5A"
"579","AR","CA9"
"580","AR","CA12"
"581","AR","CACNA1A"
"582","AR","CACNA1C"
"583","AR","CACNA1D"
"584","AR","SLC25A20"
"585","AR","CAD"
"586","AR","S100G"
"587","AR","CALD1"
"588","AR","CALM1"
"589","AR","CALM2"
"590","AR","CALR"
"591","AR","CALU"
"592","AR","CAMK2B"
"593","AR","CAMK2D"
"594","AR","CAMLG"
"595","AR","CAPG"
"596","AR","CAPN2"
"597","AR","CAPN3"
"598","AR","CAPZA1"
"599","AR","CAST"
"600","AR","CAPZB"
"601","AR","CASP2"
"602","AR","CASQ1"
"603","AR","CAV1"
"604","AR","CAV2"
"605","AR","CAV3"
"606","AR","RUNX2"
"607","AR","RUNX1"
"608","AR","RUNX1T1"
"609","AR","CBFB"
"610","AR","CBLB"
"611","AR","CCIN"
"612","AR","CCBL1"
"613","AR","CCK"
"614","AR","CCNA2"
"615","AR","CCNG2"
"616","AR","CCNH"
"617","AR","CD8B"
"618","AR","CD28"
"619","AR","TNFRSF8"
"620","AR","TNFSF8"
"621","AR","CD34"
"622","AR","SCARB2"
"623","AR","CD44"
"624","AR","CD58"
"625","AR","CD59"
"626","AR","CD63"
"627","AR","CD97"
"628","AR","CDA"
"629","AR","LRBA"
"630","AR","CDC5L"
"631","AR","CDC20"
"632","AR","CDC25B"
"633","AR","CDC27"
"634","AR","CDC42"
"635","AR","CDH3"
"636","AR","CDH4"
"637","AR","CDH8"
"638","AR","CDH16"
"639","AR","CDK5"
"640","AR","CDKN1B"
"641","AR","CDKN2B"
"642","AR","CDKN2C"
"643","AR","CEBPA"
"644","AR","CEBPD"
"645","AR","CEBPG"
"646","AR","CEL"
"647","AR","CENPC1"
"648","AR","CENPE"
"649","AR","CENPF"
"650","AR","CFL1"
"651","AR","CFL2"
"652","AR","CTSC"
"653","AR","CGB"
"654","AR","RCC1"
"655","AR","CHD2"
"656","AR","CHD3"
"657","AR","FOXN3"
"658","AR","CHI3L1"
"659","AR","CHI3L2"
"660","AR","CHIT1"
"661","AR","CHML"
"662","AR","CHN1"
"663","AR","CHN2"
"664","AR","LYST"
"665","AR","CHRM5"
"666","AR","CHRNA1"
"667","AR","CHRNB1"
"668","AR","CHRNB3"
"669","AR","CHRND"
"670","AR","CHRNG"
"671","AR","CKS1B"
"672","AR","CKS2"
"673","AR","CLCN3"
"674","AR","CLCN4"
"675","AR","CLIC1"
"676","AR","CLK1"
"677","AR","CLTA"
"678","AR","CLTC"
"679","AR","CCR7"
"680","AR","CMKLR1"
"681","AR","ABCC2"
"682","AR","CNGB1"
"683","AR","CNGA1"
"684","AR","CNGA3"
"685","AR","CNN2"
"686","AR","CNN3"
"687","AR","CNR2"
"688","AR","CNTF"
"689","AR","COL1A2"
"690","AR","COL3A1"
"691","AR","COL4A1"
"692","AR","COL4A2"
"693","AR","COL4A3"
"694","AR","COL4A4"
"695","AR","COL4A6"
"696","AR","COL5A1"
"697","AR","COL5A2"
"698","AR","COL6A3"
"699","AR","COL8A1"
"700","AR","COL8A2"
"701","AR","COL9A1"
"702","AR","COL10A1"
"703","AR","COL11A1"
"704","AR","COL12A1"
"705","AR","COL13A1"
"706","AR","COL15A1"
"707","AR","COL16A1"
"708","AR","COL19A1"
"709","AR","COPA"
"710","AR","KLF6"
"711","AR","SLC31A1"
"712","AR","SLC31A2"
"713","AR","MAP3K8"
"714","AR","COX5B"
"715","AR","COX10"
"716","AR","COX11"
"717","AR","CP"
"718","AR","CPA1"
"719","AR","CPA2"
"720","AR","CPA3"
"721","AR","CPM"
"722","AR","CPS1"
"723","AR","CREB1"
"724","AR","ATF2"
"725","AR","CREBBP"
"726","AR","ATF6B"
"727","AR","CRK"
"728","AR","CRYBA1"
"729","AR","CRYBB1"
"730","AR","CRYZ"
"731","AR","CS"
"732","AR","MAPK14"
"733","AR","CSF1"
"734","AR","CSF3"
"735","AR","CSK"
"736","AR","CSNK1D"
"737","AR","CSNK2B"
"738","AR","VCAN"
"739","AR","CSRP1"
"740","AR","CSRP2"
"741","AR","SLC25A10"
"742","AR","CST3"
"743","AR","CTBP1"
"744","AR","CTBP2"
"745","AR","CTGF"
"746","AR","CTNNA1"
"747","AR","CTNNA2"
"748","AR","CTNND1"
"749","AR","CTSB"
"750","AR","CTSK"
"751","AR","CTSO"
"752","AR","CTSS"
"753","AR","CTSW"
"754","AR","CUX1"
"755","AR","CX3CR1"
"756","AR","CYB5A"
"757","AR","CYP3A5"
"758","AR","DAB1"
"759","AR","DAB2"
"760","AR","DAG1"
"761","AR","DGKB"
"762","AR","DGKG"
"763","AR","DAP"
"764","AR","DAPK1"
"765","AR","DARS"
"766","AR","DAZL"
"767","AR","DBT"
"768","AR","DCN"
"769","AR","ACE"
"770","AR","DDB1"
"771","AR","DDC"
"772","AR","DDX3X"
"773","AR","DDX10"
"774","AR","DHX15"
"775","AR","DECR1"
"776","AR","DEFB1"
"777","AR","DES"
"778","AR","DFNA5"
"779","AR","DGUOK"
"780","AR","CYB5R3"
"781","AR","DIAPH1"
"782","AR","DIAPH2"
"783","AR","DIO1"
"784","AR","DIO2"
"785","AR","DLG1"
"786","AR","DLG3"
"787","AR","DLX1"
"788","AR","DMD"
"789","AR","DNAH5"
"790","AR","DNASE1L1"
"791","AR","DYNC1H1"
"792","AR","DYNC1I1"
"793","AR","DYNC1LI2"
"794","AR","DNMT1"
"795","AR","TRDMT1"
"796","AR","DNMT3A"
"797","AR","DOCK1"
"798","AR","DOCK2"
"799","AR","DOCK3"
"800","AR","DOK1"
"801","AR","DPH2"
"802","AR","DPP4"
"803","AR","DPT"
"804","AR","DPYD"
"805","AR","DPYSL2"
