,from,to,human_ligand,human_receptor
3357,AMEX60DD003468,AMEX60DD044042,RGMA,BMPR1B
3358,AMEX60DD045327,AMEX60DD041836,VEGFC,CCBE1
3371,AMEX60DD045792,AMEX60DD047487,SLIT2,ROBO2
3374,AMEX60DDU001003602,AMEX60DD047489,NCAM1,ROBO1
3375,AMEX60DD045792,AMEX60DD047489,SLIT2,ROBO1
3376,AMEX60DD003468,AMEX60DD012818,RGMA,TFR2
3382,AMEX60DD039450,AMEX60DD011301,ADCYAP1,TSHR
3383,AMEX60DD033801,AMEX60DD011301,CGA,TSHR
3391,AMEX60DD052441,AMEX60DD030011,GDF10,ACVR1B
3392,AMEX60DD039450,AMEX60DDU001005617,ADCYAP1,GPR84
3393,AMEX60DD033801,AMEX60DDU001005617,CGA,GPR84
3395,AMEX60DD036418,AMEX60DD009754,VEGFA,ITGB3
3396,AMEX60DDU001029229,AMEX60DD007263,APELA,APLNR
3397,AMEX60DD036418,AMEX60DD029106,VEGFA,GRIN2B
