,from,to,human_ligand,human_receptor
2320,AMEX60DD018201,AMEX60DD002665,SERPINC1,GPC1
2321,AMEX60DD055544,AMEX60DD002665,COL18A1,GPC1
2322,AMEX60DD045792,AMEX60DD002665,SLIT2,GPC1
2323,AMEX60DD021621,AMEX60DD002665,SHH,GPC1
2324,AMEX60DD036418,AMEX60DD002665,VEGFA,GPC1
2330,AMEX60DD050822,AMEX60DD037986,TNC,ITGA9
2331,AMEX60DD045327,AMEX60DD037986,VEGFC,ITGA9
2333,AMEX60DD034920,AMEX60DD037986,PLG,ITGA9
2335,AMEX60DD038300,AMEX60DD037986,F13A1,ITGA9
2336,AMEX60DD048295,AMEX60DD037986,VEGFD,ITGA9
2337,AMEX60DD052756,AMEX60DD037986,ADAM12,ITGA9
2339,AMEX60DD028699,AMEX60DD037986,TGM2,ITGA9
2340,AMEX60DD036418,AMEX60DD037986,VEGFA,ITGA9
2343,AMEX60DD055420,AMEX60DD037986,FN1,ITGA9
2346,AMEX60DD003207,AMEX60DD041858,OSTN,NPR3
2360,AMEX60DD022514,AMEX60DD025260,NXPH1,NRXN2
2361,AMEX60DD012742,AMEX60DD025260,NLGN2,NRXN2
2362,AMEX60DD009962,AMEX60DD025260,NXPH3,NRXN2
2363,AMEX60DD034661,AMEX60DD025260,AFDN,NRXN2
2364,AMEX60DD048578,AMEX60DD025260,NLGN1,NRXN2
2365,AMEX60DD036828,AMEX60DD025260,NLGN3,NRXN2
2368,AMEX60DD039745,AMEX60DD039706,PENK,OPRK1
2380,AMEX60DD052019,AMEX60DD029929,NRG3,ERBB3
2381,AMEX60DD043761,AMEX60DD029929,NRG1,ERBB3
2383,AMEX60DD025587,AMEX60DD029929,L1CAM,ERBB3
2384,AMEX60DD001392,AMEX60DD029929,TGFA,ERBB3
2386,AMEX60DD044182,AMEX60DD029929,BTC,ERBB3
2388,AMEX60DD003175,AMEX60DD035680,SST,SSTR1
2399,AMEX60DD052019,AMEX60DD010312,NRG3,ERBB2
2401,AMEX60DD043761,AMEX60DD010312,NRG1,ERBB2
2404,AMEX60DD008374,AMEX60DD010312,HSP90B1,ERBB2
2405,AMEX60DD025587,AMEX60DD010312,L1CAM,ERBB2
2406,AMEX60DD001392,AMEX60DD010312,TGFA,ERBB2
2409,AMEX60DD044182,AMEX60DD010312,BTC,ERBB2
2437,AMEX60DD025368,AMEX60DD055153,CALM1,PTH2R
2438,AMEX60DD052412,AMEX60DD055467,CXCL12,ACKR3
2444,AMEX60DD016845,AMEX60DD022047,BCAN,EGFR
2447,AMEX60DD043761,AMEX60DD022047,NRG1,EGFR
2451,AMEX60DD043190,AMEX60DD022047,ANXA1,EGFR
2452,AMEX60DD025587,AMEX60DD022047,L1CAM,EGFR
2454,AMEX60DD045456,AMEX60DD022047,FGL1,EGFR
2455,AMEX60DD001392,AMEX60DD022047,TGFA,EGFR
2456,AMEX60DD023759,AMEX60DD022047,ARF4,EGFR
2457,AMEX60DD024186,AMEX60DD022047,GNAI2,EGFR
2459,AMEX60DD037407,AMEX60DD022047,FGF13,EGFR
2460,AMEX60DD007387,AMEX60DD022047,GSTP1,EGFR
2464,AMEX60DD044182,AMEX60DD022047,BTC,EGFR
2465,AMEX60DD034258,AMEX60DD022047,CCN2,EGFR
2466,AMEX60DD008871,AMEX60DD022047,LRIG2,EGFR
2468,AMEX60DD036418,AMEX60DD022047,VEGFA,EGFR
2469,AMEX60DD025368,AMEX60DD022047,CALM1,EGFR
2471,AMEX60DD035913,AMEX60DD022047,CALM3,EGFR
2473,AMEX60DD014862,AMEX60DD026309,EFNA1,EPHA1
2474,AMEX60DD042697,AMEX60DD026309,EFNA5,EPHA1
2475,AMEX60DD014882,AMEX60DD026309,EFNA4,EPHA1
2477,AMEX60DD025368,AMEX60DD037553,CALM1,HTR2C
2494,AMEX60DDU001002333,AMEX60DD005162,NTNG2,LRRC4C
2495,AMEX60DD019201,AMEX60DD005162,NTNG1,LRRC4C
2499,AMEX60DD024186,AMEX60DD053102,GNAI2,ADRA2A
2501,AMEX60DD052412,AMEX60DD053102,CXCL12,ADRA2A
2505,AMEX60DDU001037181,AMEX60DD053102,NMS,ADRA2A
2506,AMEX60DD037665,AMEX60DD053102,APLN,ADRA2A
2507,AMEX60DD003175,AMEX60DD053102,SST,ADRA2A
2509,AMEX60DD009927,AMEX60DD053102,NPY,ADRA2A
2519,AMEX60DD044138,AMEX60DD053102,PPBP,ADRA2A
2524,AMEX60DD047408,AMEX60DD053102,APP,ADRA2A
2532,AMEX60DD039745,AMEX60DD053102,PENK,ADRA2A
2537,AMEX60DD043190,AMEX60DD053102,ANXA1,ADRA2A
2540,AMEX60DD014862,AMEX60DD002422,EFNA1,EPHA4
2541,AMEX60DD042697,AMEX60DD002422,EFNA5,EPHA4
2542,AMEX60DD014882,AMEX60DD002422,EFNA4,EPHA4
2543,AMEX60DD045141,AMEX60DD049282,PDGFC,FLT1
2544,AMEX60DD045327,AMEX60DD049282,VEGFC,FLT1
2545,AMEX60DD034920,AMEX60DD049282,PLG,FLT1
2546,AMEX60DD025282,AMEX60DD049282,PGF,FLT1
2547,AMEX60DD048295,AMEX60DD049282,VEGFD,FLT1
2549,AMEX60DD036418,AMEX60DD049282,VEGFA,FLT1
2552,AMEX60DD037141,AMEX60DD042067,COL4A5,ITGA1
