name,residual,influence,b_nbaths,b_nbeds,b_area,b_age,sq_cc_nbaths,sq_cc_nbeds,sq_cc_area,sq_cc_age
3.200000000000000000e+01,1.365662420246019337e+01,2.149622197121556569e-02,-5.876083800462756024e+00,-2.001916596714075069e+01,1.767229764550263538e-01,-8.333056451813850574e-01,2.942777273411692107e+01,2.236652966055074998e+01,3.367329978861786921e-02,5.229253697366459397e-01
3.300000000000000000e+01,-9.310480690576723362e+01,3.771758979292204328e-02,3.927766956799251119e+01,-2.717361314036127595e+01,9.915031804360999179e-02,-4.234075564668284275e-01,3.424883723494254895e+01,2.495356349010220498e+01,4.149062103867150186e-02,4.977808955062907326e-01
3.400000000000000000e+01,1.596566409051226287e+01,6.868828400810292334e-02,4.590793620950039156e+01,-1.811588283250059561e+01,7.066453318892468305e-02,-4.587992698315688372e-02,2.646138923998385550e+01,2.021006265670642321e+01,3.795730122126211858e-02,3.621803926423329267e-01
3.500000000000000000e+01,-9.565250729570990984e+01,7.697771117977587896e-02,2.331809740362262318e+01,-8.957430751886452214e+00,9.851221300003157322e-02,-7.816180269443594453e-01,2.742145862445045523e+01,2.521178355066019350e+01,2.737666336877319848e-02,9.305945846833492130e-01
3.600000000000000000e+01,1.209067432541662868e+01,7.793324181442901066e-02,2.150749416412880777e+01,-9.245722543128765736e+00,9.019277824142940547e-02,-6.530338727411474364e-01,3.177711411220209570e+01,2.241491810672906482e+01,4.930847599623273264e-02,6.685515199697427136e-01
3.700000000000000000e+01,3.009086289220711308e+01,5.813375608258536387e-02,9.820764012794512610e+00,-1.688311477341417088e+01,1.187439861704862598e-01,-2.469790776371622032e-01,3.514252401322518438e+01,2.301326275703122803e+01,3.661633900729920066e-02,4.657695068861260612e-01
3.800000000000000000e+01,3.838194581867779220e+01,2.597452528796405369e-02,2.068023404237074203e+01,-8.795195904623284378e+00,6.559161058280783829e-02,1.624770932542007884e-02,5.095351825691833625e+01,2.431652386799155607e+01,6.960642050415617732e-02,7.146437965001924963e-01
3.900000000000000000e+01,3.831670184763666498e+01,1.125626041156524010e-01,-3.557085354071985783e+00,-3.215276467006866312e+00,8.571925061119764488e-02,1.799248751431182791e-01,2.973853103869811676e+01,2.369981749195304488e+01,5.318548444634556976e-02,7.365200473766400080e-01
4.000000000000000000e+01,-3.217349999927904491e+01,8.254900856590638436e-02,1.945769344304344628e+01,-3.599447114494450872e+00,8.704146383983261959e-02,-8.174075669014753132e-01,4.018085132165490592e+01,2.571080626339083253e+01,6.655622877260213011e-02,6.385687175914107616e-01
4.100000000000000000e+01,-1.057413389137839204e+02,4.423060019393571518e-01,3.584215507129657396e+01,-2.421584884061844889e+01,1.225325546657182740e-01,-1.424693950788582963e+00,2.242129461703254023e+01,1.929337894539912313e+01,2.521557790870781329e-02,5.831839143783710266e-01
4.200000000000000000e+01,-2.078280619999274492e+01,8.908071771769912606e-02,2.666559414245660520e+01,-7.080060177824992529e+00,5.375041551227220660e-02,-1.414692888763399714e-01,3.337675866873586017e+01,2.519482436182108032e+01,5.390180606107024264e-02,4.296079445701184163e-01
4.300000000000000000e+01,3.002351382273789682e+01,5.238214922754592939e-02,4.195439015904079838e+01,-2.601088180564757124e+01,8.151252612990939062e-02,-7.572164603148773265e-02,4.229574788077835734e+01,2.696470101305699885e+01,4.878478829674098155e-02,8.701586336045329384e-01
4.400000000000000000e+01,4.147942002899927161e+01,5.709801864740039756e-02,-1.790268390320681746e+01,-1.527042999633005316e+01,1.365812905707258218e-01,-2.763800064951495161e-02,3.820363727250347097e+01,2.360162978290524904e+01,4.409995116502694185e-02,6.419002482888620520e-01
