,from,to,type,pathway
184,Hsd17b6,Nr1h4,Secreted Signaling,
185,Gdf2_bmp15,Bmpr1b_bmpr2_acvr1b,Secreted Signaling,
186,Gdf2_bmp15,Bmpr1b,Secreted Signaling,
187,Gdf2_bmp15,Bmpr2,Secreted Signaling,
188,Gdf2_bmp15,Acvr1b,Secreted Signaling,
189,Gdf2,Bmpr1b_bmpr2_acvr1b,Secreted Signaling,
190,Gdf2,Bmpr1b,Secreted Signaling,
191,Gdf2,Acvr1b,Secreted Signaling,
192,Bmp15,Bmpr1b_bmpr2_acvr1b,Secreted Signaling,
193,Bmp15,Bmpr1b,Secreted Signaling,
194,Bmp15,Bmpr2,Secreted Signaling,
195,Bmp15,Acvr1b,Secreted Signaling,
196,Bmp2,Bmpr1a_bmpr2,Secreted Signaling,
197,Bmp2,Bmpr1a,Secreted Signaling,
198,Bmp2,Bmpr2,Secreted Signaling,
199,Bmp4,Bmpr1a_bmpr2,Secreted Signaling,
200,Bmp4,Bmpr1a,Secreted Signaling,
201,Bmp4,Bmpr2,Secreted Signaling,
202,Bmp7,Bmpr1a_bmpr2,Secreted Signaling,
203,Bmp7,Bmpr1a,Secreted Signaling,
204,Bmp5,Bmpr1a_bmpr2,Secreted Signaling,
205,Bmp5,Bmpr1a,Secreted Signaling,
206,Bmp6,Bmpr1a_bmpr2,Secreted Signaling,
207,Bmp6,Bmpr1a,Secreted Signaling,
208,Gdf6,Bmpr1a_bmpr2,Secreted Signaling,
209,Gdf6,Bmpr1a,Secreted Signaling,
210,Gdf6,Bmpr2,Secreted Signaling,
211,Gdf7,Bmpr1a_bmpr2,Secreted Signaling,
212,Gdf7,Bmpr1a,Secreted Signaling,
213,Gdf7,Bmpr2,Secreted Signaling,
214,Bmp8a,Bmpr1a_bmpr2,Secreted Signaling,
215,Bmp8a,Bmpr1a,Secreted Signaling,
216,Bmp15,Bmpr1b_bmpr2,Secreted Signaling,
217,Bmp2,Bmpr1b_bmpr2,Secreted Signaling,
218,Bmp2,Bmpr1b,Secreted Signaling,
