tissueType,cellName,geneSymbolmore1,geneSymbolmore2,shortName
Kidney,Stromal cells,"MEIS1,TCF21,COL1A2,COL3A1,TNC,COL6A3,LGALS1",,Stromal
Kidney,Juxtaglomerular cells,"REN,CRIP1",,Juxtaglomerular
Kidney,Renal interstitium (Mesenchymal cells),"SFRP1,MEIS1,PDGFRA,C7,MGP",,Renal interstitium
Kidney,Connecting tubule cells,"CALB1,TRPV5,FXYD2,ATP6V1B1,SLC8A1",,Connecting tubule
Kidney,Distal tubule cells,"KLK1,KCNJ1,KL,EGF,TMEM213,TMEM52B,SOSTDC1,SLC12A3,EMX1,CLDN3,CLDN8,UMOD,PCOLCE,CDC42EP3,CLCNKB,FXYD2,POU3F3",,Distal tubule
Kidney,Hematopoietic cells,"CORO1A,MNDA,SRGN,HLA-DPA1,LST1",,HCs
Kidney,Ureteric Bud cells,"GFRA1,RET,WNT9B,CLDN6,LAMA1,NMU,Wnt11 ,Etv4, WNT7B",,UB
Kidney,Renal Vesicle cells,"NCAM1,EMX2,LHX1,BMP2,DKK1,DLL1,GREB1,PAPSS2,PCSK9,POU3F3,TMEM100,WT1",,RV
Kidney,Cancer stem cells,EPCAM,,CSCs
Brain,Astrocytes,"GFAP,SLC1A3,SLC1A2,GLUL,S100B,ALDH1L1,AQP4,IGFBP3,ATP13A4,CBS,SOX9,CD40,CD80,CD86,C5AR1",,Astrocytes
Brain,Cholinergic neurons,"CHAT,SLC18A3,ACHE",,Cholinergic neurons
Brain,Dopaminergic neurons,"TH,SLC6A3,FOXA2,KCNJ6,NR4A2,LMX1B,DBH,SLC6A2,PPP1R1B",,Dopaminergic neurons
Brain,Endothelial cells,"PECAM1,VWF,A2M,APOLD1,FLT1,TM4SF1,CD34,MCAM,ENG,PTPRC,VCAM1,CDH5",,Endothelial
Brain,GABAergic neurons,"SLC6A1,GABBR1,GABBR2,GAD2,GAD1,SLC32A1",,GABAergic neurons
Brain,Glutamatergic neurons,"SLC17A7,SLC17A6,GRIN1,GRIN2B,GLS,GLUL,GRIN2A",,Glutamatergic neurons
Brain,Immature neurons,"DCX,NEUROD1,TBR1,STMN1,NCAM1,TUBB3",,Immature neurons
Brain,Immune system cells,"MS4A1,CCR6,CXCR3,CD4,IL2RA,ISG20,TNFRSF8,Trac,Ltb,Cd52",,Immune system
Brain,Mature neurons,"RBFOX3,MAP2,SYP,DLG4,TUBB3,MAPT,INA,GAP43,NRP1",,Mature neurons
Brain,Microglial cells,"P2RY12,ITGAM,CD40,PTPRC,CD68,AIF1,CX3CR1,TMEM119,ADGRE1,C1QA,NOS2,TNF,ISYNA1,CCL4,ADORA3,ADRB2,BHLHE41,BIN1,KLF2,NAV3,RHOB,SALL1,SIGLEC8,SLC1A3,SPRY1,TAL1",,Microglial
Brain,Myelinating Schwann cells,"SOX10,EGR2,MBP,MPZ",,Myelinating Schwann
Brain,Neural Progenitor cells,"CSPG4,RNF5,EOMES,SOX2,SOX1,NES,PAX3,PAX6,OTX2,CNTNAP1,ASCL1,SMARCA4,MSI1,MSI2",,Neural Progenitor
Brain,Neural stem cells,"SOX2,PROM1,NES,SOX9",,Neural stem
Brain,Neuroblasts,"NEUROD1,DCX,DLX2,PROX1,EOMES,TUBB3",,Neuroblasts
Brain,Neuroepithelial cells,"NES,SOX2,NOTCH1,HES1,HES3,CDH1,OCLN,SOX10",,Neuroepithelial
Brain,Non myelinating Schwann cells,"SOX10,GAP43,NCAM1,NGFR",,Non myelinating Schwann
Brain,Oligodendrocyte precursor cells,"LHFPL3,MEGF11,PCDH15,PDGFRA,CSPG4,RNF5",,Oligodendrocyte precursor
Brain,Oligodendrocytes,"OLIG1,OLIG2,OLIG3,CLDN11,MBP,MOG,MAG,GALC,CNP,SOX10,FA2H,UGT8",,Oligodendrocytes
Brain,Radial glial cells,"VIM,NES,PAX6,HES1,HES5,GFAP,SLC1A3,FABP7,TNC,CDH2,SOX2",,Radial glial
Brain,Schwann precursor cells,"SOX10,GAP43,FABP7,MPZ,DHH,NGFR",,Schwann precursor
Brain,Serotonergic neurons,"TPH1,SLC6A4,FEV,HTR1A,HTR1B",,Serotonergic neurons
Brain,Tanycytes,"GPR50,COL23A1",,Tanycytes
Lung,Airway epithelial cells,"ADH7,AQP1,CDH1,SEC14L3",,Airway epithelial
Lung,Airway goblet cells,"AGR2,AQP5,CEACAM1,DMBT1,DUSP4,FXYD3,GALNT5,GALNT6,GGH,GOLPH3,GP2,IL19,LIPF,LTF,LYNX1,MSLN,MUC16,MUC4,MUC5B,NOS2,PIGR,QSOX1,SCGB3A1,SEC23B,SPDEF,TFF2",,Airway goblet
Lung,Mesothelial cells,"C2,CALB2,CD44,CDH1,DES,EFEMP1,EPCAM,GSTA3,KRT5,KRT7,KRT72,LGALS7,LRRN4,ME1,ME2,MSLN,MUC16,OSR1,RSPO1,THBD,UPK3B,WT1",,Mesothelial
Lung,Fibroblasts,"COL3A1,COL5A2,DPT,FN1,GSN,LRP1,PDGFRA,TCF21",,Fibroblasts
Lung,Basal cells (Airway progenitor cells),"ABI3BP,AQP3,DAPL1,GSTM2,HPGD,ICAM1,KRT14,KRT15,KRT5,PHLDA3,RPS18,SDC1",,Basal
Lung,Alveolar macrophages,"ABCG1,CCL3,CD36,CLEC7A,CSF2RB,CXCL2,G0S2,GAL,GDA,GNGT2,GPNMB,IL18,IL1B,ITGAX,KLHDC4,MARCO,MCEMP1,MPP1,MRC1,OLR1,PLET1,S100A4,TLR2,TNFAIP2,TRIM25",,Alveolar macrophages
Lung,Ciliated cells,"APPL2,ATP5MD,CCDC153,CCDC17,CCDC181,CCDC39,CYP2S1,FAM161A,FOXJ1,LRRC23,ODF3B,SCGB1A1,SEC14L3,SNTN,STK11,TMEM212,TSPAN19,TUBB4B",,Ciliated
Lung,Clara cells,"AHR,ALDH1A1,BPIFA1,CTSE,CYP2E1,CYP4B1,ERN1,FOXM1,LEPR,MUC1,MUC4,MUC5B,RAB3D,SCGB1A1,SCGB3A1,SCGB3A2,SFTPA1,SFTPC,SFTPD,SYT2",,Clara
Lung,Immune system cells,"ADGRE1,ARG1,BIRC5,CCL17,CCL18,CD14,CD163,CD19,CD22,CD3D,CD3E,CD3G,CD4,CD44,CD5,CD68,CD74,CD80,CD83,CD86,CD8A,CD8B,CDCA3,CDK1,CEBPE,CR2,CSF1R,EAF2,FCER2,FCGR3A,FLT3,GIMAP3P,HLA-DRA,HMMR,IGHM,IL2RA,ITGAE,ITGAM,ITGAX,LAX1,MS4A14,MZB1,NRP1,NUSAP1,PAX5,PRG2,PTPRC,SLPI,THBD,TNFRSF17,TRBC1,XCR1",,Immune system
Lung,Endothelial cell,"CD34,EGFL7,EMCN,ESAM,FLT1,KDR,MCAM,PECAM1,RAMP2,TEK,VWF",,Endothelial cell
Lung,Epithelial cells,"ANPEP,EPCAM,IL10,IL6R",,Epithelial
Lung,Ionocytes,"CFTR,CLCNKB,FOXI1,KCNMA1,SCGB1A1,SLC12A2,TFCP2L1",,Ionocytes
Lung,Pulmonary alveolar type I cells,"AGER,AKAP5,AQP3,AQP5,CCN2,CLDN18,CLIC5,COL4A3,COL4A4,CRLF1,CYP4B1,EGFL6,EMP2,FSTL3,GPRC5A,HOPX,ICAM1,IGFBP6,KRT7,MEX3B,MMP11,P2RX7,PDPN,PXDC1,RTKN2,SCNN1A,SCNN1B,SCNN1G,SEC14L3,SEMA3B,SEMA3E,SMARCA1,VEGFA",,AT1
Lung,Pulmonary alveolar type II cells,"ABCA3,ADGRF5,AGER,CD36,CD3G,CEBPA,CLDN18,CRLF1,CTNND1,CXCL2,CXCR2,DDX3Y,EGFL6,ETV5,GRK2,IL1B,INMT,IRX1,LAMP3,LPCAT1,LRG1,MUC1,NAPSA,NKX2-1,NRN1,PGC,PIGR,PPBP,PPP1R14C,RUNX3,S100G,SDC1,SFTA2,SFTPA1,SFTPB,SFTPC,SFTPD,SLC34A2,SOAT1",,AT2
Lung,Secretory cell,"MUC5B,PIGR,SCGB1A1",,Secretory
Adrenal,CSH1_CSH2 positive cells,"CGB,GH2,PSG5,CGA,CSH1,ERVW-1,CSH2,PSG7,PSG11,HSD3B1,PSG9,PSG1,PSG6,PLAC4,PSG4",,
Adrenal,Megakaryocytes,"C15orf54,GP9,PF4,PPBP,GP1BA,MEGT1,LY6G6F,GP6,ITGA2B,C6orf25,ALOX12,FCER1A,ELOVL7,NRGN,RP11-930O11.1",,
Adrenal,Schwann cells,"WNT16,MPZ,FOXD3,SOX10,CDH19,GPR17,PMP2,COL20A1,INSC,RP4-792G4.2,TTYH1,SOX2,LAMP5,OLFML2A,ATP1A2",,
Adrenal,Myeloid cells,"MS4A14,LILRA1,RP11-554D14.6,AC007040.8,MS4A7,RP11-489O18.1,CLEC10A,MS4A4A,RN7SL138P,CD163,CD14,SIGLEC1,VSIG4,CLEC7A,LILRA2",,
Adrenal,Sympathoblasts,"NPAS4,SLC24A2,RP11-542G1.2,PENK,LINC00890,KLK4,RP11-17A4.2,RP5-1096J16.1,C18orf42,TTC40,ARC,FAM19A3,VWA5B1,PPP1R17,RP4-718N17.2",,
Adrenal,Erythroblasts,"TPSAB1,CTD-2008P7.9,RP11-85G21.3,CTSE,CTA-392E5.1,EIF5AP2,CTA-363E6.6,C17orf99,SLC4A1,TRIM10,MIR144,ART4,AHSP,GYPA,HBM",,
Adrenal,Stromal cells,"MIR1245A,NPY5R,RP11-60A8.1,RP11-254F19.2,RP11-494K3.2,RP11-758M4.4,RP11-142A23.1,RP11-752L20.5,OSR1,RP11-867G23.13,SULT1E1,HHIP,MGP,PRELP,TWIST2",,
Adrenal,Vascular endothelial cells,"CCL23,FGF23,SMIM9,RP13-1016M1.2,RP11-100L22.1,RP11-327L3.3,RP1-149A16.12,GPR182,DLL4,GALNT15,CALCRL,CD300LG,FLT4,FCN3,GPIHBP1",,
Adrenal,Chromaffin cells,"NRG1-IT3,RNU6-457P,LINC00594,AC018643.4,RP11-159N11.3,CTC-537E7.1,Y_RNA,snoU13,CTD-2006K23.2,RP5-955M13.4,INSRR,KCNK10,PHEX-AS1,RP11-958J22.1,FLJ30594",,
Adrenal,Lymphoid cells,"GZMH,XCL1,KLRC3,RP11-94L15.2,GZMA,IL2RB,TRAT1,SH2D1A,DTHD1,CD3E,ZNF831,GNLY,PRF1,IGHD,THEMIS",,
Adrenal,Adrenocortical cells,"RP1-145M24.1,RP11-238I10.1,AC005392.13,RP11-316I3.2,RP11-501O2.4,SDIM1,RP11-258O13.1,AJ006998.2,CTD-2517O10.5,RNU6-944P,CTB-43E15.4,RP11-34F13.3,RP11-536K7.5,RP11-183M13.1,RNU6-56P",,
Adrenal,SLC26A4_PAEP positive cells,"IL1A,SLC26A4,SNX25P1,VMO1,CTD-2210P15.2,CTC-360P9.4,ULK4P1,SNORA14A,RNU6-518P,RP11-431N15.2,RP11-26J3.3,RP11-378A12.1,SPINK8,HSD3B2,KIRREL-IT1",,
Heart,Megakaryocytes,"MEGT1,LY6G6F,TUBB1,PPBP,PF4,GP9,TPSB2,HBD,AC137932.6,ITGA2B,GP1BA,CLEC1B,PTCRA,BEND2,RP11-179A10.1",,
Heart,Epicardial fat cells,"RP11-89M22.3,CTD-3012A18.1,PRG4,KRT7,SPRR2F,KLK11,MKRN9P,UPK1B,EPGN,NPHS1,ITLN1,LRRN4,CST6,GSDMA,RAET1E",,
Heart,Lymphatic endothelial cells,"GPR182,GPR97,STAB2,HOXD9,TBX1,CCL21,HOXD10,TSPEAR,ABCA4,PGM5-AS1,TFF3,LINC00636,RP11-341G23.4,HOXD4,RP11-451M19.3",,
Heart,Schwann cells,"GFRA3,SOX10,MPZ,LINC00466,COL20A1,MIA,ASPA,ERBB3,TFAP2A,INSC,ARTN,PMP2,S100B,FOXD3,AP000797.3",,
Heart,Lymphoid cells,"GZMB,FCRL2,KLRC2,XCL1,LINC00861,PRF1,CD3G,SH2D1B,ANTXRLP1,VPREB3,SH2D1A,CRTAM,CXCR6,RP11-94L15.2,GZMK",,
Heart,Myeloid cells,"XCR1,TMPRSS4-AS1,TIMD4,PRTN3,MMP9,CD86,CLEC5A,SIGLEC1,CLEC7A,C1QC,P2RY13,FCN1,CSTA,CD300LF,MS4A6A",,
Heart,Endocardial cells,"ANGPTL5,APCDD1L,NPPC,SLC6A4,SALL1,LEPR,C3orf36,AC004562.1,FAM3D,HAPLN1,APCDD1,LYPD2,FOXC1,MPZL2,RP11-849I19.1",,
Heart,Vascular endothelial cells,"ESM1,SLC9C1,OPN5,QRFPR,MIR4454,AC007743.1,PKD1L1,TM4SF18,APLNR,CLRN1-AS1,CD300LG,C1QTNF9,AC019100.3,MADCAM1,RP11-298O21.5",,
Heart,Stromal cells,"RP11-60A8.1,SCARA5,DPT,CILP,ZCCHC5,AGTR2,MFAP5,RP11-71N10.1,LUM,ABCA10,RP11-31K23.2,CCL11,NRK,PDGFRA,LPAR4",,
Heart,Smooth muscle cells,"PDE4C,RP11-112H10.4,RP11-598F7.5,RP11-626H12.1,HCG22,CTD-3064M3.3,RP11-231I13.2,GPR20,RP11-267N12.1,OR51E1,THBS4,MIR143HG,PDGFRB,AOC3,ENPEP",,
Heart,SATB2_LRRC7 positive cells,"NEUROD2,FEZF2,NEUROD6,TBR1,MPPED1,SATB2,FOXG1,PCDH11Y,CAMKV,BHLHE22,SLIT1,C14orf23,RP11-562L8.1,LINC00966,DRAXIN",,
Heart,Erythroblasts,"RP5-857K21.7,CENPW,SLC46A1,GSPT2,RHCE,SLC7A11,P2RX6,SKA1,FARSA,ZNF90,TMCC2,RP11-225B17.2,TMEM161A,ZNF583,ENPP4",,
Heart,Visceral neurons,"GATA3-AS1,GAL,CHRNA3,PRPH,PHOX2A,GALR1,NXPH1,TMC3,DDC,SST,OPRM1,PIRT,NECAB2,ECEL1,SLC10A4",,
Heart,Cardiomyocytes,"RP11-439H8.4,RNA5SP327,CTD-2552K11.2,Y_RNA,AC018464.3,HHATL,BMP10,RP11-461A8.4,UGT2B4,PRSS42,WI2-1896O14.1,FABP2,EPN3,RP11-406O23.2,AC009878.2",,
Heart,ELF3_AGBL2 positive cells,"C1orf194,ZMYND10,MS4A8,IL20RA,ELF3,SCGB3A2,EFCAB1,SFTPB,WDR65,CP,PIH1D2,AGBL2,SFTPC,DNAH9,MUC1",,
Heart,CLC_IL5RA positive cells,"FAM209A,CERKL,CLC,PRG2,MS4A3,IL5RA,ZC2HC1C,CTD-2620I22.1,CTD-3032H12.2,RP11-252E2.1,AC011524.1,S100A1,Y_RNA,LINC00407,RP11-516C1.1",,
Intestine,Erythroblasts,"AHSP,SPTA1,HBG2,HBA2,HBM,HBG1,HBA1,SLC4A1,HBB,GYPA,HEMGN,HBZ,ALAS2,MIR144,MYL4",,
Intestine,Chromaffin cells,"ARX,NKX2-2,CCK,CRYBA2,NEUROD1,FEV,MLN,ASIC5,ONECUT3,SST,RP11-788H18.1,PAX4,KCNH6,SSTR5,PCSK1",,
Intestine,Smooth muscle cells,"ACTG2,GREM2,CNN1,RP11-467I20.6,WIF1,TACR2,OVCH2,FRMD6-AS2,DES,MYH11,RP11-626H12.1,ANO1,CHRDL2,TAGLN,FBXL22",,
Intestine,Myeloid cells,"VSIG4,RPL32P1,CD207,AP000439.1,HCAR3,C5orf20,AC010492.4,P2RY13,LILRB2,LILRB5,IL1B,C1QB,CD163,C1QC,DNASE1L3",,
Intestine,Lymphoid cells,"IL17A,ICOS,SH2D1A,GZMK,RP11-553L6.2,TRGC1,RP11-104L21.3,TRDC,GZMA,VPREB1,CCR4,LTA,NCR2,CD247,RP11-94L15.2",,
Intestine,Intestinal epithelial cells,"UNC5CL,C1orf177,TRIM31,LINC00955,RP3-417L20.4,HMGN1P20,ALPI,RP11-395B7.2,EGFR-AS1,RP11-462G2.1,DEFB1,CA7,RP11-468N14.13,ARL14,AC024592.9",,
Intestine,ENS glia,"SERPINA3,RLBP1,GPR12,RP4-792G4.2,CDH19,COL20A1,SOX10,PLP1,SOX2,FOXD3,MPZ,BCAN,TFAP2A,SOX2-OT,PTPRZ1",,
Intestine,ENS neurons,"PDIA2,RP11-672L10.2,GRP,DRGX,GCGR,SLC18A3,PHOX2A,HECW1-IT1,RP11-202H2.1,IQCJ,STMN4,TTC9B,GAL,CEND1,NEFL",,
Intestine,Vascular endothelial cells,"SOX17,GPIHBP1,PRND,CLEC3B,FLT1,MMRN2,BTNL9,APLNR,LHX6,NOTCH4,RP11-3K16.2,ESAM,RP11-328D5.1,ESM1,GJA5",,
Intestine,Stromal cells,"RP11-13P5.2,MSC,RP1-283K11.3,RP5-1077H22.1,CTD-2541J13.1,AC002511.2,AC002511.3,MMP27,CTD-2334D19.1,CXCL14,FZD10,PDGFRA,AC003090.1,RP1-288H2.4,ITGA11",,
Intestine,Mesothelial cells,"AP000705.7,HAS1,TNNT1,BNC1,DSC3,WT1,WNT10A,C21orf62,PTPRQ,CEMP1,C3,CRB2,KLK11,PHYHIP,TGM1",,
Intestine,Lymphatic endothelial cells,"RP11-474N8.5,TBX1,STAB2,CCL21,LINC00636,TSPEAR,ART5,CTC-236F12.4,GPR1,RP11-322E11.5,MPP7,Y_RNA,ABCA4,PLIN5,TP63",,
Muscle,Megakaryocytes,"PF4,ITGA2B,LIPH,ELOVL7,GP6,ITGB3,PTGS1,RP11-480G7.1,RP11-170N16.2,C3orf55,RP4-655J12.4,TUBB1,DCLRE1A,TMEM40,GNAZ",,
Muscle,Schwann cells,"UGT8,POU3F1,PMP2,GFRA3,KCNC2,MPZ,SOX10,PTPRZ1,COL20A1,LINC01037,BCAN,C2orf72,C10orf82,RP11-946L20.2,MAG",,
Muscle,Lymphatic endothelial cells,"NTS,TFF3,CCL21,STAB2,PTX3,PCLO,IL7,P4HA3,C6orf141,PIK3C2G,ASGR2,ANKRD36BP2,NALCN,FAM26F,NHLRC1",,
Muscle,Erythroblasts,"RHAG,GYPA,AHSP,GYPB,HBZ,ALAS2,SLC4A1,SLC14A1,EIF5AP2,HBM,HBA1,EPB42,RP11-57H12.2,ALS2CR12,SLC25A37",,
Muscle,Skeletal muscle cells,"RP11-755O11.2,ASB15,RP11-456H18.2,RPL7P3,PVALB,RN7SL365P,RP11-432J24.5,C8orf22,ASB10,RP5-921G16.2,CLDN9,RP5-1039K5.13,AC137723.5,RP11-255G21.1,AC093063.2",,
Muscle,Stromal cells,"WSCD2,C13orf45,LINC00645,RP1-300G12.2,RP11-217C7.1,RP11-332E3.2,RP11-473E2.4,CTD-2555C10.3,RP11-342A23.1,WNT10B,ACKR4,DIO3,CCDC129,ZCCHC5,RP11-38H17.1",,
Muscle,Satellite cells,"AC004014.3,MYEOV,TACR3,GDPD4,USP44,RGR,RP11-320P7.2,FAM132B,GPR123,CTB-175P5.4,ENPP7P10,CHRDL2,PAX7,RP11-706J10.1,MAPK15",,
Muscle,Vascular endothelial cells,"MIR4454,SLC5A4,AL118508.1,CA4,RP11-206M11.7,PRSS51,NOS3,GRIN2A,GFRAL,CD300LG,MADCAM1,RP11-327L3.3,C1QTNF9,ANO2,AP001597.1",,
Muscle,Smooth muscle cells,"OR51E2,AC131025.8,ADORA2B,MYH11,SLC38A11,MIR143HG,MIR145,RP11-1101K5.1,P2RX3,GPR176,ANO1,OR51E1,CORIN,CACNA1C-IT3,TMC4",,
Muscle,Myeloid cells,"FCN1,MS4A4E,TMPRSS4-AS1,CD86,FLT3,P2RY13,IL10RA,FOLR2,MNDA,HLA-DQB1,MS4A4A,AMICA1,CYTH4,MS4A6A,CFP",,
Muscle,Lymphoid cells,"IL7R,CD8A,NKG7,CD247,NCR1,RP11-61O1.1,TRAC,CD3E,ITK,CD2,MATK,RP11-444A22.1,SYTL1,IL2RB,GZMA",,
Placenta,PAEP_MECOM positive cells,"RP11-98L5.2,AC104654.1,PAEP,RP11-274B18.4,PIGR,TSPAN1,AC012593.1,RP11-510D19.1,POU5F1,UGT2B7,DEFB1,RP11-697E22.2,SLC18A2,PAX8,SLPI",,
Placenta,AFP_ALB positive cells,"SLC2A2,ALB,APOB,AFP,ITIH2,F2,MAT1A,APOC3,SERPINC1,FABP1,APOA2,AHSG,SERPINA10,SLC38A3,SERPINA4",,
Placenta,Extravillous trophoblasts,"AC022596.6,GKN1,CILP2,LINC00330,PDE6H,PRG2,RP11-872D17.8,HLA-G,ASCL2,NOTUM,AC006262.5,DAW1,NOG,TAC3,RP11-420L9.4",,
Placenta,Lymphoid cells,"IGJ,IGHM,KLRC3,GZMH,PTGDR,IGHGP,IKZF3,IFNG-AS1,TIGIT,KLRC2,LCK,ANKRD36BP2,TNFRSF18,IGHG3,LINC00861",,
Placenta,Trophoblast giant cells,"CCK,CTA-833B7.2,PSG1,CGB,CSH2,PSG6,KISS1,INHBA,GH2,PSG9,CRH,PSG8,RP11-76E12.1,PSG4,TREML3P",,
Placenta,Smooth muscle cells,"RP11-162G9.1,FAM162B,WNT3A,AFF2,CDH19,SCN11A,GPR20,COX4I2,AGTR1,ADAMTS20,RP11-123O22.1,HIGD1B,AC020571.3,COLEC10,KCNK17",,
Placenta,IGFBP1_DKK1 positive cells,"RP3-404K8.2,RP11-486P11.1,FOXL2,WT1,RP11-171A24.3,SCARA5,LRRN4CL,S100A3,WT1-AS,PRL,WNT4,AC012065.7,APOD,BRINP2,RORB",,
Placenta,Stromal cells,"AP006285.6,AC002451.1,RP11-99L13.2,RP1-79C4.4,MMP23B,RP11-248N22.2,LA16c-380H5.4,MIR218-1,C8orf87,SNORD113,RP11-74M11.2,HSD3BP2,AP001605.4,LINC00314,AC007394.3",,
Placenta,Vascular endothelial cells,"RP11-1028N23.4,RP11-297H3.3,AC007743.1,RP11-327L3.3,CD34,ARHGEF15,CXorf36,LRRC36,SOX7,RP11-328D5.1,NTS,CDRT1,LINC01049,ROBO4,HS3ST3A1",,
Placenta,Syncytiotrophoblasts and villous cytotrophoblasts,"CTD-2050E21.1,POTEKP,RP11-344B2.3,RP11-366M4.3,RP11-2A4.4,RP11-483F11.7,FTLP14,RP11-718G2.5,RP11-18D7.3,CLCA2,KB-1440D3.13,CTBP2P8,RP11-359P18.1,HSPD1P6,AC124861.1",,
Placenta,Myeloid cells,"SIGLEC10,RP11-1143G9.4,LYZ,ADAMDEC1,LILRB2,HLA-DRB5,SDS,HLA-DOA,SIGLEC1,MMP9,LILRB4,C1QB,TLR2,TLR7,S100A8",,
Placenta,Megakaryocytes,"EGF,TUBB1,PPBP,ITGA2B,RP11-930O11.1,RP11-152K4.2,LINC00989,PF4,C6orf25,LINC00534,PKHD1L1,NRGN,DNM3,RP11-466L17.1,RP11-142C4.6",,
Spleen,AFP_ALB positive cells,"SERPINA6,PLG,AMBP,SERPINC1,BHMT2,LBP,PRAP1,APOB,SERPINA1,FGB,VTN,SLC2A2,FGG,MT1G,ITIH1",,
Spleen,Lymphoid cells,"RN7SL337P,KLRC4-KLRK1,RP11-553L6.2,RP11-861A13.4,RP11-38J22.6,ZNF860,RP11-693J15.5,RP11-61O1.1,FCRL3,CTD-2215E18.1,RP5-1028K7.2,IKZF3,LINC00861,IL9RP3,VAV3-AS1",,
Spleen,Myeloid cells,"CLEC9A,RP11-489O18.1,RP3-522P13.3,RP11-807H22.7,RP11-1080G15.1,FCN1,EMR4P,TMPRSS4-AS1,RP11-157G21.2,CSF2RA,OSCAR,RP3-522D1.1,CD163L1,RUFY4,DLEU7-AS1",,
Spleen,Vascular endothelial cells,"RP11-189E14.5,ODF3L2,RP4-765C7.2,AC019100.3,RP11-172F10.1,CTD-2207L17.2,RP1-154K9.2,AC010084.1,SLC5A4,OR5G5P,HOXD3,SNTG1,EEF1A1P31,ADAMTSL1,MYRIP",,
Spleen,Stromal cells,"CTD-2270F17.1,ENPP7P4,AC105053.3,RP11-388K12.1,SCTR,KBTBD11-OT1,ADRA1B,NPM1P10,NPY5R,TPH2,CTC-535M15.2,MIR143HG,KLHL29,AC023481.1,CADPS",,
Spleen,STC2_TLX1 positive cells,"CAMK2N2,CLVS2,RP11-384O8.1,FBXL16,GABRG2,HRK,EBF3,TRH,AC018730.1,CTD-3193O13.9,CPLX2,ATP1A3,TMEM119,IFI27L2,PET117",,
Spleen,Megakaryocytes,"RAB27B,RP11-556I14.2,EGF,GP6,RP11-930O11.1,LINC00989,SELP,GP1BA,HPSE,RP11-152K4.2,LINC00504,MMRN1,ITGB3,ELOVL7,LY6G6F",,
Spleen,Mesothelial cells,"QRFPR,SLPI,LHX9,PLA2G2A,CGN,NPHS1,KRT5,LRRN4,KLK11,OLR1,PTPRQ,COL8A1,PDZK1IP1,HAS1,SFRP2",,
Spleen,Erythroblasts,"HDC,PRSS57,EIF5AP2,PPAPDC1A,MTL5,CTA-392E5.1,ACSBG1,RP5-964N17.1,GYPA,SLC25A21,RP11-146I2.1,MIR144,SLC2A14,CTA-363E6.6,SLC4A1",,
Stomach,Neuroendocrine cells,"SLC18A1,GHRL,GAST,FEV,NKX2-2,CRYBA2,MBOAT4,CDK5R2,RFX6,HAP1,RP11-82C23.2,RBPJL,PTF1A,PAX6,CACNA1A",,
Stomach,Erythroblasts,"KLF1,SLC4A1,HBM,NFE2,HBZ,GYPB,HBG2,HBB,ALAS2,SPTA1,HBA1,HEMGN,RNF224,HBG1,HBA2",,
Stomach,Ciliated epithelial cells,"CCDC37,C11orf88,FAM216B,LDLRAD1,TUBA4B,KIF19,DYDC2,ANKRD66,C9orf117,C10orf67,AC013264.2,LRRC71,CAPSL,TSPAN19,STOML3",,
Stomach,Squamous epithelial cells,"KRT6B,CAPNS2,KRT6C,FGFBP1,KRT6A,KRT17,ADH7,SERPINB10,KRT16,S100A3,CLCA2,LY6D,KRT4,AC019349.5,GPR87",,
Stomach,Parietal and chief cells,"RP11-467I20.6,ETNPPL,ATP4B,FGB,FGA,SIGLEC11,FRMD1,TRIM50,ALB,ATP4A,ANGPTL3,MFSD4,APOBEC2,CKM,PAQR5",,
Stomach,MUC13_DMBT1 positive cells,"ISX,GUCA2B,ENPP7,MIR194-2,BTNL3,TM4SF20,SI,SLC17A4,ALDOB,CDX1,DMBT1,CHP2,KRT20,SLC5A12,ADRA2A",,
Stomach,Myeloid cells,"C1QC,HLA-DQB1,MS4A6A,CD14,C1QB,CD163L1,IGSF6,CCDC26,C1QA,NCF2,HLA-DRB1,HLA-DRB5,CLEC7A,MS4A7,HLA-DPA1",,
Stomach,Goblet cells,"UGT2B15,IL17C,GKN2,SLC22A8,CXCL5,CSF3,TFF2,A4GNT,FBP2,FGF20,MUC6,GKN1,CXCL1,MUC5AC,CA9",,
Stomach,Stromal cells,"AC002511.2,PTGER1,OSR2,AC003090.1,ACTG2,INHBA,HSPB6,AC131025.8,SHISA3,DPT,TRPA1,ACTA2,TWIST2,CXCL14,GLIS1",,
Stomach,ENS neurons,"PRPH,STMN2,ATP1A3,KCNIP4,NKAIN1,INA,GAP43,ATCAY,CNGB1,TCEAL5,STAC,DCX,RP11-457K10.1,FAM163A,CNTN5",,
Stomach,ENS glia,"SOX10,MPZ,ATP1A2,BAI1,PLP1,CDH19,COL20A1,ELOVL2,NOV,PRIMA1,RP11-308N19.1,SLC35F1,LGI4,VGLL3,EGFLAM",,
Stomach,Vascular endothelial cells,"SELE,PRND,APLNR,ARHGEF15,PLVAP,FLT1,PCDH12,MADCAM1,GPIHBP1,GALNT15,RP4-601K24.1,MEOX1,A2M,CCM2L,CLEC14A",,
Stomach,Lymphatic endothelial cells,"NTS,STAB2,CCL21,RADIL,RP11-444A22.1,TFPI,RP11-142C4.6,TNFAIP8L3,LY86-AS1,PTGS2,RP11-554D15.1,EFCC1,MMRN1,Y_RNA,NFATC1",,
